Method,Raw VaR,Optimised VaR
Historical (5%),-0.01775917046545298,-0.018536835477559153
Parametric Normal (5%),-0.02257618598978428,-0.026101121498391996
T-distribution (5%),-0.017976040916092107,-0.020422007943340634
